,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
195,True,0.0,,entropy,,0.1,,,0.0,17,10,0.0,2,-1,False,42,0,False,0.832,
196,False,0.0,,gini,,0.1,,,0.0,20,10,0.0,2,-1,False,42,0,False,0.836,
197,False,0.0,,entropy,,0.1,,,0.0,20,10,0.0,2,-1,False,42,0,False,0.8424285714285714,
198,True,0.0,,gini,,0.1,,,0.0,20,10,0.0,2,-1,False,42,0,False,0.8255714285714286,
199,True,0.0,,entropy,,0.1,,,0.0,20,10,0.0,2,-1,False,42,0,False,0.8261428571428572,
200,False,0.0,,gini,,0.1,,,0.0,1,12,0.0,2,-1,False,42,0,False,0.8097142857142857,
201,False,0.0,,entropy,,0.1,,,0.0,1,12,0.0,2,-1,False,42,0,False,0.829,
202,True,0.0,,gini,,0.1,,,0.0,1,12,0.0,2,-1,False,42,0,False,0.804,
203,True,0.0,,entropy,,0.1,,,0.0,1,12,0.0,2,-1,False,42,0,False,0.8167142857142857,
204,False,0.0,,gini,,0.1,,,0.0,3,12,0.0,2,-1,False,42,0,False,0.8292857142857143,
205,False,0.0,,entropy,,0.1,,,0.0,3,12,0.0,2,-1,False,42,0,False,0.8327142857142857,
206,True,0.0,,gini,,0.1,,,0.0,3,12,0.0,2,-1,False,42,0,False,0.8215714285714286,
207,True,0.0,,entropy,,0.1,,,0.0,3,12,0.0,2,-1,False,42,0,False,0.826,
208,False,0.0,,gini,,0.1,,,0.0,5,12,0.0,2,-1,False,42,0,False,0.8294285714285714,
209,False,0.0,,entropy,,0.1,,,0.0,5,12,0.0,2,-1,False,42,0,False,0.8334285714285714,
210,True,0.0,,gini,,0.1,,,0.0,5,12,0.0,2,-1,False,42,0,False,0.8221428571428572,
211,True,0.0,,entropy,,0.1,,,0.0,5,12,0.0,2,-1,False,42,0,False,0.8214285714285714,
212,False,0.0,,gini,,0.1,,,0.0,7,12,0.0,2,-1,False,42,0,False,0.838,
213,False,0.0,,entropy,,0.1,,,0.0,7,12,0.0,2,-1,False,42,0,False,0.8382857142857143,
214,True,0.0,,gini,,0.1,,,0.0,7,12,0.0,2,-1,False,42,0,False,0.8228571428571428,
215,True,0.0,,entropy,,0.1,,,0.0,7,12,0.0,2,-1,False,42,0,False,0.8188571428571428,
216,False,0.0,,gini,,0.1,,,0.0,9,12,0.0,2,-1,False,42,0,False,0.8338571428571429,
217,False,0.0,,entropy,,0.1,,,0.0,9,12,0.0,2,-1,False,42,0,False,0.8351428571428572,
218,True,0.0,,gini,,0.1,,,0.0,9,12,0.0,2,-1,False,42,0,False,0.8262857142857143,
219,True,0.0,,entropy,,0.1,,,0.0,9,12,0.0,2,-1,False,42,0,False,0.8262857142857143,
220,False,0.0,,gini,,0.1,,,0.0,11,12,0.0,2,-1,False,42,0,False,0.8391428571428572,
221,False,0.0,,entropy,,0.1,,,0.0,11,12,0.0,2,-1,False,42,0,False,0.8335714285714285,
222,True,0.0,,gini,,0.1,,,0.0,11,12,0.0,2,-1,False,42,0,False,0.8254285714285714,
